coreid,mofid-v1,mofid-v2,quaternary ,binary,year
2013[Cu][pts]3[ASR]6,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],[C4Cu2O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][N][Branch1][P][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2013
2016[Zn][nan]2[ASR]4,[O-]C(=O)c1cc(cc(n1)c1ccccn1)c1ccc(cc1)C(=O)[O-].[OH].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1],1,0,2016
2014[Zn][dia]3[ASR]11,CC1=NN=N[N]1.[Zn],[Zn1_Type-1].[C][C][=N][N][=N][NH0][Ring1][Branch1],1,0,2014
2014[Cd][rtl]3[ASR]3,[Cd].[O-]C(=O)c1ccncc1,[Cd1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2014
2020[V][nan]3[ASR]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V],[V4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[OH1],1,0,2020
2024[Zn][sql]2[ASR]1,[O-]C(=O)c1ccc(cc1F)c1ccc(cc1)N(c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-])c1ccc(cc1)N(c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-])c1ccc(cc1)c1ccc(c(c1)F)C(=O)[O-].[Zn],[C4O8Zn2_Type-3].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Ring1][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Ring1][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][O-1],2,1,2024
2010[Zn][pcu]3[ASR]8,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],[C6O13Zn4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2010
2023[Ni][nan]3[ASR]2,[Ni].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],[Ni3_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][OH0][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][OH0][C][=Branch1][C][=O][O-1],1,0,2023
2011[V][bpq]3[ASR]8,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O].[V],[V2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH0],1,0,2011
2017[Ni][sqc]3[ASR]1,[Ni].[O-]C(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-],[C2Ni1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch2][Ring2][Branch2][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][S][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][#C][C][=Branch1][C][=O][O-1],3,1,2017
2008[Cu][tbo]3[ASR]20,[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],[C4Cu2O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2008
2008[In][dia]3[ASR]3,[In].[O-]C(=O)c1ccc(s1)C(=O)[O-],[C4In1O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][=Branch1][C][=O][O-1],2,1,2008
2011[Zn][pyr]3[ASR]4,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],[C6O13Zn4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2011
2013[La][nan]3[ASR]3,O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[La],[La4_Type-2].[O][=C][Branch2][Branch1][=Branch1][C][=C][C][=Branch2][Ring1][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],3,1,2013
2020[V][nan]3[ASR]2,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V],[V4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[OH1],1,0,2020
2016[Cu][nbo]3[ASR]43,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],[C4Cu2O8_Type-1].[C][O][C][=C][Branch2][=Branch1][Branch2][C][=C][Branch2][Ring1][Ring2][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch2][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2016
2022[Ce][nan]3[ASR]1,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)C(=O)O)C(=O)[O-].[O][Ce],[Ce1_Type-1].[O][=C][C][=C][C][=Branch2][Ring1][O][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Ring1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O-1],1,0,2022
2015[Mg][nan]3[ASR]9,[Mg].[O-]C(=O)c1ccnc(c1)C(=O)[O-].[OH],[Mg6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1],1,0,2015
2016[Co][pts]3[ASR]5,Cc1cc(C2=C[N]N=C2)c(cc1[C]1C=NN=C1)C.[Co],[Co1_Type-1].[C][C][=C][C][Branch1][Branch2][C][=C][NH0][N][=C][Ring1][Branch1][=C][Branch1][N][C][=C][Ring1][O][CH0][C][=N][N][=C][Ring1][Branch1][C],1,0,2016
2015[Mn][sql]2[ASR]1,Cl[Mn]Cl.n1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1,[Cl2Mn1_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch2][Ring2][=Branch2][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2015
2008[Fe][bpq]3[ASR]1,[Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH],[Fe1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1],1,0,2008
2015[Ti][sql]2[ASR]1,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[Ti]O[Ti],[C4O9Ti2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][OH0][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][OH0][C][=Branch1][C][=O][O-1],3,1,2015
2016[Cu][nbo]3[ASR]8,COc1c(cc(cc1c1ccc(cc1)C(=O)[O-])c1cc(c2ccc(cc2)C(=O)[O-])c(c(c1)c1ccc(cc1)C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Cu][Cu],[C4Cu2O8_Type-1].[C][O][C][=C][Branch2][=Branch1][Branch2][C][=C][Branch2][Ring1][Ring2][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch2][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2016
2012[Fe][bpq]3[ASR]3,[Fe].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O],[Fe1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH0],1,0,2012
2013[Eu][nan]3[ASR]10,[Eu].[O-]C(=O)CNCC(=O)[O-],[Eu16_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1],3,1,2013
2011[Zn][gra]3[ASR]1,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][Branch2][F][F][C][=Branch1][C][=O][O-1],1,0,2011
2007[Zn][nan]3[ASR]11,[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2007
2021[Cu][ssb]3[ASR]1,[Cu][Cu].[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],[C4Cu2O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][Branch2][C][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O-1],1,0,2021
2015[Zn][nbo]3[ASR]2,[O-]C(=O)c1ccc(cc1)c1[nH]c(nc1c1ccc(cc1)C(=O)[O-])c1ccccn1.[Zn],[C2O4Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][NH1][C][=Branch2][Ring1][Ring2][=N][C][=Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][C][=N][Ring1][=Branch1],1,0,2015
2024[Zn][pcu]3[ASR]5,F[Zn].F[Zn](F)F.O=C1C(=O)C(=O)C1=O.[Zn],[F4Zn4_Type-1].[O][=C][C][=Branch1][C][=O][C][=Branch1][C][=O][C][Ring1][=Branch1][=O],1,0,2024
2023[Ni][dia]3[ASR]1,[Ni].[O-]C(=O)c1ccncc1N,[C2Ni1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1][N],1,0,2023
2011[Zn][lon]3[ASR]1,[O-]C=O.[Zn],[Zn1_Type-1].[O-1][C][=O],1,0,2011
2020[Co][dia]3[ASR]1,[Co].[O-]C(=O)c1ccncc1,[C2Co1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2020
2010[Ce][pcu]3[ASR]1,[Ce].[O-]C(=O)c1ccc(cc1)NNc1ccc(cc1)C(=O)[O-],[C12Ce3O24_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],2,1,2010
2009[Cd][pts]3[ASR]1,CC1=NC(=C([N]1)C(=O)[O-])C(=O)[O-].[Cd],[Cd1_Type-1].[C][C][=N][C][=Branch1][N][=C][Branch1][Ring2][NH0][Ring1][Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2009
2020[Cu][dia]3[ASR]1,C(Cn1cncc1)CCn1cncc1.[Cu],[Cu1_Type-1].[C][Branch1][=Branch2][C][N][C][=N][C][=C][Ring1][Branch1][C][C][N][C][=N][C][=C][Ring1][Branch1],1,0,2020
2004[Mn][dia]3[ASR]4,[Mn].[O-]C=O,[Mn1_Type-1].[Mn4_Type-1].[O-1][C][=O],1,0,2004
0000[Cd][nbo]3[ASR]1,[Cd].n1ccc(cc1)N(c1ccncc1)c1ccc(cc1)N(c1ccncc1)c1ccncc1,[Cd1_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,0
2016[In][nan]3[ASR]15,[In].[O-]C(=O)C1=NC=N[C]1C(=O)[O-],[In1_Type-1].[O-1][C][=Branch1][C][=O][C][=N][C][=N][CH0][Ring1][Branch1][C][=Branch1][C][=O][O-1],3,1,2016
0000[Co][nan]3[ASR]7,[Co].n1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccncc1)C=C3)[N]2,[Co1_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch2][=Branch1][C][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=N][C][=Branch2][Ring2][N][=C][Branch2][Ring1][S][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][O][=C][N][=C][Ring2][Ring1][Branch2][C][=C][Ring1][Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][NH0][Ring1][P][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][=N][NH0][Ring2][Ring2][=Branch2],1,0,0
2020[Zn][nan]3[ASR]16,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][OH0][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][OH0][C][=Branch1][C][=O][O-1],1,0,2020
2024[Zn][ths]3[ASR]1,Cl[Zn].[O-]C(=O)c1ccc(cc1)c1cc(nc(c1)c1ccncc1)c1ccncc1,[C1Cl1O2Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][S][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2024
0000[Fe][nbo]3[ASR]1,[Fe][Fe].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],[C4Fe2O8_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch2][Branch1][#C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][Ring1][=Branch1][C][=C][Ring1][=Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,0
2023[Cu][cds]3[ASR]1,[Cu].[O-]C(=O)c1ccc(cc1)c1cnc[nH]1,[C2Cu1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N][=C][NH1][Ring1][Branch1],3,1,2023
2009[Cu][dia]3[ASR]2,[Cu].n1ccc(cc1)c1ccc(cc1)OCC(COc1ccc(cc1)c1ccncc1)(COc1ccc(cc1)c1ccncc1)COc1ccc(cc1)c1ccncc1,[Cu1_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][Branch2][Ring1][Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][Branch2][Ring1][Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1],1,0,2009
2023[Zn][kgd]2[ASR]2,[O-]C(=O)c1cccc(c1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][OH]1[Zn][OH]([Zn]1)[Zn],[C6H2O14Zn4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2,1,2023
2008[Zn][nan]3[ASR]15,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][OH0][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][OH0][C][=Branch1][C][=O][O-1],1,0,2008
2018[Zn][ant]3[ASR]1,O=C1N[C](N=C(N1)n1cncc1)n1cncc1.[Zn],[Zn1_Type-1].[O][=C][N][CH0][Branch1][#C][N][=C][Branch1][Ring2][N][Ring1][=Branch1][N][C][=N][C][=C][Ring1][Branch1][N][C][=N][C][=C][Ring1][Branch1],1,0,2018
0000[Co][nan]3[ASR]18,[Co][O]([Co][O]([Co])[Co])[Co].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],[Co1_Type-1].[Co3_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch1][#Branch2][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,0
2014[Cu][acs]3[ASR]5,[Cu].[O-]C=O,[Cu1_Type-1].[O-1][C][=O],0,0,2014
2017[In][xmz]3[ASR]1,[In][O]([In])[In].[O-]C(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)[O-],[C6In3O13_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2017
2010[Zn][pcu]3[ASR]10,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],[C6O13Zn4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,0,2010
2020[Zn][nan]3[ASR]57,[O-]C(=O)c1cc(cc(n1)C(=O)[O-])c1cc(nc(c1)C(=O)[O-])C(=O)[O-].[Zn],[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1,0,2020
2013[Zn][nan]3[ASR]4,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],[C6O13Zn4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],2,1,2013
2014[Cu][sql]2[ASR]1,[Cu].[O-]C(=O)C(=Cc1cnc[nH]1)N1C(=O)c2cccc3c2c(C1=O)ccc3,[C2Cu1O4_Type-2].[O-1][C][=Branch1][C][=O][C][=Branch1][=Branch2][=C][C][=C][N][=C][NH1][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][Branch1][C][Ring1][O][=O][=C][C][=C][Ring1][Branch2],2,1,2014
2011[Cu][pts]3[ASR]2,COP(=O)(c1ccc(cc1)P(=O)(OC)[O])[O].[Cu],[Cu1_Type-1].[C][O][P][=Branch1][C][=O][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][P][=Branch1][C][=O][Branch1][Ring1][O][C][OH0][OH0],1,0,2011
2009[Co][cds]3[ASR]1,O.[Co].[O-]C(=O)c1cc(cc(c1)C(C)(C)C)C(=O)[O-],[Co1_Type-1].[O].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O-1],2,1,2009
2016[Co][nan]3[ASR]6,[Co].[O-]C(=O)C1=CC2=NN=NC2=C[CH]1.[O-]C(=O)c1ccc2c(c1)[N]N=N2.[OH],[Co1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][N][=N][C][Ring1][Branch1][=C][CH1][Ring1][=Branch2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][NH0][N][=N][Ring1][=Branch1].[OH1],1,0,2016
2020[Cd][fes]2[ASR]3,[Cd].[O-]C(=O)c1ccnc(c1)c1nccc(c1)C(=O)[O-],[C2Cd1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],2,1,2020
2013[Mg][acs]3[ASR]2,[Mg].[O-]C=O,[Mg1_Type-1].[O-1][C][=O],0,0,2013
2024[Mn][scu]3[ASR]1,[Mn][OH2][Mn].[O-]C(=O)c1cc(C(=O)[O-])c(cc1N1[N]C=N[CH]1)n1ncnc1.[O-]C(=O)c1cc(C(=O)[O-])c(cc1n1ncnc1)n1ncnc1,[C4H2Mn2O9_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch1][N][C][=C][Ring1][=Branch2][N][NH0][C][=N][CH1][Ring1][Branch1][N][N][=C][N][=C][Ring1][Branch1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch1][N][C][=C][Ring1][=Branch2][N][N][=C][N][=C][Ring1][Branch1][N][N][=C][N][=C][Ring1][Branch1],1,0,2024
